,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
1,1,USA,2053217,7668,114408,260,789558,1149251,16875
2,2,Brazil,747561,5477,38701,204,325602,383258,8318
3,3,Russia,493657,8404,6358,216,252783,234516,2300
4,4,UK,290143,1003,41128,245,0,0,516
5,5,Spain,289046,0,27136,0,0,0,617
6,6,India,286532,11752,8098,379,140809,137625,8944
7,7,Italy,235763,202,34114,71,169939,31710,249
8,8,Peru,203736,0,5738,0,92929,105069,1077
9,9,Germany,186866,350,8840,9,170700,7326,533
10,10,Iran,177938,2011,8506,81,140590,28842,2639